Product_id,Product_stock,Product_barcode
5965,548,9858329
9991,839,80799368
4195,176,15948472
7590,886,45165016
2918,781,39000477
8688,256,34844366
337,678,9994157
6851,49,54932876
3285,44,28045557
7924,612,70884548
3467,52,7925948
5822,874,35310679
754,167,743273
9950,889,4120049
4912,294,15795458
4222,599,78065086
9678,251,30852396
1465,145,74205455
1681,435,12959204
8242,177,92122826
2202,285,59039051
7520,488,55163590
585,339,82928155
2864,450,47266513
7447,216,71554525
5029,688,97969303
5011,506,91064936
4290,689,97796664
5842,274,89729632
7200,64,75758349
1373,882,50496303
9004,483,24983266
9429,54,20966546
5825,772,69373275
2449,96,84614421
7944,536,25399202
1176,743,44204952
2101,196,41880050
9428,926,93166195
2254,930,20026509
5757,566,96811986
2581,832,62010535
5871,768,35112433
1808,639,63308464
2785,231,95548371
7985,919,14610158
7767,101,34911679
5247,610,20907785
1546,625,91524171
1354,259,73729396
7770,355,22987136
1401,524,4736349
9988,704,9800069
5616,669,86164054
9346,670,8198037
1316,238,21283376
3014,953,87132670
501,316,67649389
1491,763,79204699
7218,472,83148835
1788,914,86446556
373,511,31368254
6926,730,34856192
5388,5,18440669
7418,571,6656607
8458,707,1029833
7200,718,28473145
1802,690,744805
8949,892,20865153
6712,282,46067722
1648,198,81838653
8802,872,41992173
9577,818,20822637
7806,908,309547
2271,922,85521780
5099,598,56384550
2746,71,16196711
8107,205,26805641
6653,473,85938038
2881,71,28803485
7878,532,46203946
5785,14,66802150
1814,529,68592158
4098,808,64538396
8727,938,42273011
9296,803,2944098
9878,82,95175393
5041,721,34410196
3392,491,78687226
5608,955,52199578
3431,915,60244840
8332,671,71747859
9682,941,67572755
1339,937,28412083
3405,431,20654603
9509,428,67931408
5244,90,4272335
7174,72,77521095
5511,515,40741826
6760,282,38993886
1641,907,51146689
2885,54,61206809
5089,210,53000033
300,411,47016347
808,653,12815548
9787,37,54027534
7252,562,12293810
3122,271,60537997
4157,75,73595595
9190,643,66532569
8232,975,33163239
6718,219,11989059
4112,329,54456273
3895,282,85510258
6930,665,45901782
9315,969,31339353
1900,469,5905263
2958,279,27785058
4964,141,38016165
5048,823,49608090
5677,301,27308080
9495,258,75998127
6734,332,63005677
6048,102,39532480
5018,62,14631955
8132,206,87146554
9627,338,40375311
1838,741,96365106
3379,246,41323960
7287,566,87027914
3499,74,88254227
3596,846,77629739
6084,606,5750573
7026,200,11844969
9214,434,57680682
2256,454,9789630
6681,25,98318612
2526,969,28909996
1757,530,83423376
7116,236,53952165
9023,403,93627498
5379,187,517447
9002,185,85891562
9097,47,79968546
1615,665,21403859
5230,236,89703861
5356,844,83115684
9471,276,29948871
7883,22,57284019
7754,359,48229135
5103,109,85565319
7721,226,99819996
737,358,87184198
9802,824,24257367
7786,40,5597376
9953,100,66732709
5299,875,21283116
7759,863,62165839
959,495,81181919
9927,647,82449995
7691,765,72533291
435,589,29041060
6545,881,30976672
3801,557,57659008
2930,809,78043039
5132,448,6533359
544,211,35918646
7830,52,73918820
5006,295,14643217
6348,285,1287424
261,298,32737974
1195,534,6992927
4437,886,33539706
4817,557,85352056
6902,854,96498231
6367,988,49440959
5889,486,7021046
7690,271,13990558
4241,755,64903552
3569,747,498340
1497,137,64300924
8169,458,39546814
9756,64,59494348
9032,445,67116324
9251,549,87796384
3211,323,39749109
7638,907,86581172
8150,929,4887591
2968,153,7933936
9935,473,52967269
9036,995,71549248
2202,408,17187527
6014,626,35825531
6173,16,6446413
7849,819,23808294
1808,875,97079484
1280,102,51332242
5831,404,53277282
1642,171,35472667
3653,983,90498077
4566,951,9421042
6910,534,61665330
2635,882,65782910
7663,540,48385695
6058,815,1224429
1809,746,83390838
8035,924,77378644
5582,663,69451126
9690,899,72872031
981,108,57459554
3924,486,79595612
6151,822,53018144
8266,244,3456507
4000,197,92049499
7976,853,83329760
3103,112,65546536
8652,850,51238278
9318,655,78286191
593,938,68583002
3121,250,39698223
4622,868,3911037
2561,352,86159159
7297,191,10440216
6691,599,76331169
9148,895,78820104
5791,742,1884241
7790,208,4846956
681,835,7210341
698,653,38464775
1471,558,35243083
1979,114,32412055
7279,432,10126943
9716,748,3209745
199,473,89651216
5814,44,4314479
2153,107,98674732
2856,481,15930811
7913,592,35610762
2122,75,92201200
9220,441,76360589
138,414,96949917
6527,247,89864296
2800,265,7384301
999,155,65963500
4465,274,65355558
1220,232,54426962
8867,763,47242401
4347,41,70427332
3463,23,74659821
8565,118,18948271
7333,240,44524319
7968,53,71183275
7384,478,2057491
8759,140,9420779
3917,45,10763421
5181,837,68477752
4645,691,36719709
7279,252,68525231
6401,140,27125014
6951,775,29367801
8200,110,14588648
5695,884,70301052
2494,734,14742644
8003,572,84976321
6472,233,22444158
9943,956,58049761
4013,338,95200033
3484,524,43856237
6515,441,8996978
6361,105,88129259
5132,332,59664369
6088,628,37109783
5143,870,94981018
1862,80,31193047
8107,548,231626
3774,860,91838728
4535,468,14780639
4125,627,26080833
2736,352,81326532
9232,824,37964528
9825,405,33362649
3108,487,59043720
3858,693,76382277
8847,380,62039635
363,60,81470570
3970,606,95750132
5611,227,15357861
5594,167,77073037
2761,369,17966207
2059,500,11365402
8242,401,15404008
2680,728,52328992
1009,988,72342138
1905,210,50235308
6415,976,74591640
9207,182,53847300
3963,687,29974634
6199,754,26494050
1063,648,85938342
4894,910,39453655
9375,981,66438144
5013,437,87814323
9429,683,80257196
2622,223,958943
8375,43,90963773
1453,117,33611419
3205,869,11312338
3046,284,43834136
8680,283,9423084
790,119,93629584
1619,236,57964201
6406,239,90587696
5020,225,5645893
6188,115,15145611
242,722,44529017
6124,365,34726389
3090,811,78598034
9388,375,67698608
7273,710,29271955
3650,510,52989780
1703,975,79567121
1535,183,32152982
8152,333,33867205
5013,330,7460470
1443,767,79857680
3967,505,33345826
2849,950,5024674
7465,912,91426673
204,727,23559295
5186,778,58627143
8058,312,73400493
9437,186,55518949
3285,785,85194250
5466,252,56667189
8447,404,17586610
5189,998,925273
1414,81,54152700
8533,860,30539815
8850,922,42069591
9107,741,38459566
4849,701,30375833
4171,875,73122456
8387,364,99862671
2065,264,69681677
4682,889,97997658
2831,820,49728347
4149,946,58790892
5802,319,34095058
6819,512,86069434
6189,398,83386268
9946,169,74450602
2253,966,38665110
145,461,28378990
1159,381,54867192
1379,813,48005210
5545,976,5839353
3310,987,15766755
80,147,18526509
5070,266,25773590
7281,608,31926737
5761,964,70020724
6244,476,3280317
2744,145,68790783
3409,697,72731376
7257,379,16269866
7854,739,48161503
6749,569,77578839
5379,308,46644206
4769,871,88770987
7871,111,91391834
978,462,42349976
2620,120,86330824
5074,871,30891746
7004,894,78564480
4904,366,40051659
9770,622,22069313
9297,64,47943407
7986,266,59371748
5656,110,60617354
1257,628,76802232
423,222,80085157
585,955,34403723
1236,242,7586002
5064,133,88830377
1853,59,27371589
8883,818,93314671
1563,752,49403336
733,550,17057707
3489,574,29844814
4219,868,15944672
8866,125,12888993
4636,493,26840505
3713,299,30399259
590,247,72690529
6376,334,38982699
9260,651,35795865
4692,254,79100465
1662,232,98057351
2981,469,3767443
575,171,13895327
1009,789,50121168
6484,584,8345936
8251,587,41685143
1174,467,51070311
8480,685,46041968
5358,321,32718614
631,550,32529043
9191,168,81723775
3147,916,96311165
4373,45,83906022
5521,814,53924162
6381,957,98133666
7976,389,33464602
8445,503,61019041
4410,371,82711900
6210,868,1133752
2507,300,90666971
2094,571,33662749
5656,735,6521356
4059,819,39361691
5240,588,29455850
7936,632,25135534
898,806,49014273
6097,406,18192919
6828,733,85112926
4773,456,43804351
1013,421,9243446
8568,242,11759133
3883,596,1445664
6691,322,81967544
9457,374,61614741
1425,617,63228137
3281,902,77890542
2247,340,90460319
8511,152,30619838
324,932,61710429
1410,626,53227379
1039,429,2417882
91,742,78051645
9374,851,21061592
9735,303,54818255
8051,902,54334700
4679,595,3296028
2622,711,75877149
4737,402,51666354
1927,515,44902025
5785,468,33575209
2769,746,89616772
1089,939,3403921
4195,885,98020096
9394,304,96311042
183,16,58185391
9655,878,99799731
1638,554,696739
4755,789,79191494
3715,183,2683508
8234,827,61640436
7150,674,25380569
863,139,27818176
1718,810,82737269
8649,54,72371268
9922,679,48117661
5421,566,10435120
3539,393,40196916
5610,190,91131690
904,821,7845703
3567,338,43243815
937,969,61082212
265,374,37733148
7214,669,6448844
589,190,56191714
2561,27,64624846
8840,62,36034949
314,416,29415021
2026,158,1255607
5295,426,59527190
6176,231,78473652
6441,85,94531329
4322,144,54571006
7015,115,93639194
9610,377,64562568
3240,914,65451922
7109,466,72092507
3725,216,57919959
7493,366,67695492
8905,713,80870807
7864,180,78162877
3904,985,17076913
3660,377,11927297
1707,595,15679109
1292,445,70768299
1650,653,18833904
3996,399,9535152
7592,257,8871923
914,276,27520246
265,359,49645903
8412,783,43074709
8328,925,98363612
6111,706,42829768
6417,293,81165476
5461,759,67630141
8176,640,57199207
6204,485,41664100
7821,307,18942330
8542,415,37107253
5602,659,72990360
4132,592,48194761
625,189,60155429
1047,62,14032691
2907,814,17916790
6395,651,64364216
8019,532,22623164
7833,579,99106065
8224,253,88813516
1573,448,61918191
8168,342,86615372
6393,692,28497325
1610,845,46188656
2434,748,37933739
9107,802,88349794
4935,428,73051763
2969,515,33983608
1047,987,38886584
3794,674,73138723
7379,1,88050423
9993,685,79994118
3723,481,1868937
3160,878,54671683
2442,638,25757446
111,962,2315621
404,973,49526097
1162,850,70383751
8907,180,93144209
7659,931,47221895
5723,286,79461238
9446,534,84596864
6656,65,90604973
6799,870,13624989
4496,556,43385300
6581,724,48665100
8554,396,13469702
3383,266,74357673
3875,233,75949396
1182,470,40376653
8675,706,89435540
8874,188,63422320
9369,727,81649952
1128,153,82079321
4739,616,71241173
3399,571,95834276
8333,627,7785580
7274,449,8951274
5374,71,71272160
4900,234,86084949
1541,635,24779746
3273,458,3603635
4262,417,98396214
4043,268,49017977
9728,90,38180255
9056,947,21251009
8796,556,97525196
7453,593,29422494
2173,750,44830229
7825,569,71618050
3740,399,87228670
3759,563,95695358
7348,892,75966324
6584,156,687157
1075,854,31480109
9829,901,16370289
5297,49,30857018
7480,505,85766440
9970,65,72644843
2213,501,19057439
6290,747,25507737
7913,123,62706230
548,742,2874487
1923,541,3950289
2960,500,58554951
8090,306,60556134
5578,603,74858200
3521,366,45172687
6175,268,14638817
7004,667,22022240
6381,159,9255685
6958,623,58426715
5656,502,57430768
